X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
15.962815001,45.8001189990001,243,Zagrepčanka - istok,"3,4,13,14,17,32,33",smjer prema gradu,
15.963247,45.7994249990001,244,Zagrepčanka - jug,"3,5,13,33",smjer Av. Marina Držića,
15.961686,45.7987419990001,245,Zagrepčanka - zapad,"4,5,14,17,32",smjer Savski most\ Prečko,"Linija 4 i 14 okretište Savski most, linije 5,17,32 smjer Prečko, "
15.954909,45.809491999,246,Zapadni kolodvor izlaz - sjever,1,terminal Zapadni kolodvor,
15.95516,45.8093669990001,247,Zapadni kolodvor ulaz - jug,1,smjer Trg bana J. Jelačića,
16.0016640000001,45.7798359990001,248,Zapruđe - istok,"6,7,31",smjer prema gradu,
16.000930999,45.778044999,249,Zapruđe - jug,"6,7,14,31",smjer prema gradu,Posljednje stajalište na trasi linije 14
16.0003600000001,45.778107999,250,Zapruđe - sjever,"6,7,31",smjer Sopot\Savski most,"Linija 6 prometuje  do okretišta Sopot, linije 7 i 31 smjer Savski most"
16.0016370000001,45.7796759990001,251,Zapruđe ulaz 8 - istok,8,smjer Mihaljevac,
16.0003800000001,45.7781209990001,252,Zapruđe ulaz 14 - sjever,14,smjer Savski most,
16.001779001,45.778983999,253,Zapruđe-  zapad,"6,7,8,31",smjer  Savski most,Posljednje stajalište na trasi linije 8
16.0364760000001,45.7909079990001,254,Zg. transporti - istok,"2,3,33",smjer Av.Marina Držića,
16.0369260000001,45.7914689990001,255,Zg. transporti - zapad,"2,3,33",smjer Žitnjak,
16.034776,45.7988609990001,256,Žitnjak - jug,"2,3,13,33",smjer Savišće,Posljednje stajalište na trasi linije 13
16.034341,45.7991669990001,257,Žitnjak - sjever,"2,3,13,33",smjer Av. Marina Držića,
15.977859999,45.809108999,258,Zrinjevac - istok,"6,13,31,34",smjer Trg bana J. Jelačića,
15.977732001,45.808958999,259,Zrinjevac zapad,"6,13,31,34",smjer Glavni kolodvor,
